0.38,0.18,0.12,9.77,-0.03,-2.8,-36.0,37.0,-34.0
0.38,0.18,0.12,9.77,-0.03,-2.8,-36.0,37.0,-34.0
0.38,0.18,0.12,9.77,-0.03,-2.8,-36.0,37.0,-34.0
-0.94,2.42,3.41,9.64,0.7,-2.74,-39.0,33.0,-33.0
-0.94,2.42,3.41,9.64,0.7,-2.74,-39.0,33.0,-33.0
-0.94,2.42,3.41,9.64,0.7,-2.74,-39.0,33.0,-33.0
-0.94,2.42,3.41,9.64,0.7,-2.74,-39.0,33.0,-33.0
-0.94,2.42,3.41,9.64,0.7,-2.74,-39.0,33.0,-33.0
1.39,1.14,3.25,7.97,5.18,1.0,-43.0,16.0,-27.0
1.39,1.14,3.25,7.97,5.18,1.0,-43.0,16.0,-27.0
1.39,1.14,3.25,7.97,5.18,1.0,-43.0,16.0,-27.0
1.39,1.14,3.25,7.97,5.18,1.0,-43.0,16.0,-27.0
1.39,1.14,3.25,7.97,5.18,1.0,-43.0,16.0,-27.0
1.97,2.76,-2.81,9.61,3.05,2.86,-49.0,15.0,-34.0
1.97,2.76,-2.81,9.61,3.05,2.86,-49.0,15.0,-34.0
1.97,2.76,-2.81,9.61,3.05,2.86,-49.0,15.0,-34.0
1.97,2.76,-2.81,9.61,3.05,2.86,-49.0,15.0,-34.0
1.97,2.76,-2.81,9.61,3.05,2.86,-49.0,15.0,-34.0
3.11,-0.42,3.28,8.57,6.37,-4.74,-52.0,8.0,-41.0
3.11,-0.42,3.28,8.57,6.37,-4.74,-52.0,8.0,-41.0
3.11,-0.42,3.28,8.57,6.37,-4.74,-52.0,8.0,-41.0
3.11,-0.42,3.28,8.57,6.37,-4.74,-52.0,8.0,-41.0
3.11,-0.42,3.28,8.57,6.37,-4.74,-52.0,8.0,-41.0
3.63,-6.67,3.87,7.27,5.09,6.32,-17.0,2.0,-22.0
3.63,-6.67,3.87,7.27,5.09,6.32,-17.0,2.0,-22.0
3.63,-6.67,3.87,7.27,5.09,6.32,-17.0,2.0,-22.0
3.63,-6.67,3.87,7.27,5.09,6.32,-17.0,2.0,-22.0
3.63,-6.67,3.87,7.27,5.09,6.32,-17.0,2.0,-22.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
-8.1,9.82,-4.48,5.38,7.14,-1.01,-38.0,16.0,-25.0
6.24,-0.78,6.02,8.13,2.02,6.38,-30.0,3.0,-23.0
6.24,-0.78,6.02,8.13,2.02,6.38,-30.0,3.0,-23.0
6.24,-0.78,6.02,8.13,2.02,6.38,-30.0,3.0,-23.0
6.24,-0.78,6.02,8.13,2.02,6.38,-30.0,3.0,-23.0
-3.07,11.16,-8.33,7.74,5.38,0.16,-36.0,16.0,-25.0
-3.07,11.16,-8.33,7.74,5.38,0.16,-36.0,16.0,-25.0
-3.07,11.16,-8.33,7.74,5.38,0.16,-36.0,16.0,-25.0
-3.07,11.16,-8.33,7.74,5.38,0.16,-36.0,16.0,-25.0
-3.07,11.16,-8.33,7.74,5.38,0.16,-36.0,16.0,-25.0
0.77,2.09,4.58,-1.15,1.02,9.08,-12.0,-19.0,-39.0
0.77,2.09,4.58,-1.15,1.02,9.08,-12.0,-19.0,-39.0
0.77,2.09,4.58,-1.15,1.02,9.08,-12.0,-19.0,-39.0
0.77,2.09,4.58,-1.15,1.02,9.08,-12.0,-19.0,-39.0
0.77,2.09,4.58,-1.15,1.02,9.08,-12.0,-19.0,-39.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-9.67,-9.88,-1.91,6.5,6.13,-1.21,-32.0,24.0,-25.0
-0.02,-1.72,0.45,3.24,1.73,-9.92,-41.0,35.0,-54.0
